artigoEmPeriodico	2013	http://dx.doi.org/10.1590/S1415-65552013000500007	A ética dos alunos de administração e de economia no ensino superior	RAC. Revista de Administração Contemporânea (Online)	GAMA, PAULO ; PEIXOTO, PAULO ; SEIXAS, ANA MARIA ; ALMEIDA, FILIPE ; ESTEVES, DENISE	B4	RAC. Revista de Administração Contemporânea (Impresso)
artigoEmPeriodico	2012		Centros históricos e turismo patrimonial: o pelourinho como exemplo de uma relação contraditória	Sociologia (Porto)	CIFELLI, G. ; PEIXOTO, P.	Qualis nao identificado	Sociologia (Porto)
artigoEmPeriodico	2012		Em torno da cidade criativa	Revista Crítca das Ciências Sociais	DUXBURY, N. ; FORTUNA, C. ; BANDEIRINHA, J. A. ; PEIXOTO, P.	B3	Revista Crítica de Ciências Sociais
artigoEmPeriodico	2011		O património revela o mundo como ele é	CEAMA â013 Centro de Estudos de Arquitetura Militar de Almeida	PEIXOTO, P.	Qualis nao identificado	CEAMA â013 Centro de Estudos de Arquitetura Militar de Almeida
artigoEmPeriodico	2010		Redes de cidades e inovação social	Revista de Ciências Sociais (UFC)	PEIXOTO, P.	Qualis nao identificado	Revista de Ciências Sociais (UFC)
artigoEmPeriodico	2009		Políticas urbanas de patrimonialização e contra-revanchismo: o Recife Antigo e a Zona Histórica da Cidade do Porto	Políticas urbanas de patrimonialização e contra-revanchismo: o Recife Antigo e a Zona Histórica da Cidade do Porto	LEITE, R. P. ; PEIXOTO, P.	Qualis nao identificado	Políticas urbanas de patrimonialização e contra-revanchismo: o Recife Antigo e a Zona Histórica da Cidade do Porto
artigoEmPeriodico	2009		A sociedade SPAM	Ainda é possível resgatar a Internet em benefício do conhecimento?. Kriativ Tech	PEIXOTO, P.	Qualis nao identificado	Ainda é possível resgatar a Internet em benefício do conhecimento?. Kriativ Tech
trabalhoCompletoEmCongresso	2013		Ethics and academic fraud among higher education engineering students in Portugal	Conference Proceedings of 1st International Conference of the Portuguese Society for Engineering Education (CISPEE)	GAMA, P. ; ALMEIDA, FILIPE ; SEIXAS, A. M. ; PEIXOTO, P. ; ESTEVES, D.	Qualis nao identificado	Conference Proceedings of 1st International Conference of the Portuguese Society for Engineering Education (CISPEE)
trabalhoCompletoEmCongresso	2013		Dos pigmentos tradicionais às cores sintéticas a sustentabilidade da paisagem urbana no centro histórico de Coimbra	Atas do III Congreso Iberoamericano y XI Jornada Técnicas de Restauración y Conservación del Patrimonio	PEIXOTO, P. ; PROVIDENCIA, P. ; ABRANTES, J.	Qualis nao identificado	Atas do III Congreso Iberoamericano y XI Jornada Técnicas de Restauración y Conservación del Patrimonio
trabalhoCompletoEmCongresso	2012		Novos públicos no ensino superior: novas formas de (in)justiça social?	VII Congresso Iberoamericano de Docência Universitária: Ensino Superior Inovação e Qualidade na Docência	SEIXAS, A. M. ; PEIXOTO, P. ; MOURA, A.	Qualis nao identificado	VII Congresso Iberoamericano de Docência Universitária: Ensino Superior Inovação e Qualidade na Docência
trabalhoCompletoEmCongresso	2011		A cor como linguagem: reflexões sociológicas sobre as dinâmicas cromáticas nos revestimentos e acabamentos históricos de Coimbra	Simpósio 'Património em Construção' - contextos para a sua preservação	PEIXOTO, P. ; PROVIDENCIA, P. ; AGUIAR, J.	Qualis nao identificado	Simpósio 'Património em Construção' - contextos para a sua preservação
trabalhoCompletoEmCongresso	2010		A cidade e a cultura do consumo: dos grandes armazéns aos centros comerciais	Caminhos e Identidades da modernidade. 1910	PEIXOTO, P.	Qualis nao identificado	Caminhos e Identidades da modernidade. 1910
